Identifikator,Perioden Id,Jahres Id,Geräte_Name,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1114672.47059,SP1114672.54.81,SY1114672.2026.47059,iPad1(1114672),01.06.26 12:40,Prod,A1114672.6473,Tisch 5,Manager(946638),S1114672.47059,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Pagersystem
S1114672.47060,SP1114672.54.82,SY1114672.2026.47060,iPad1(1114672),01.06.26 12:41,Prod,A1114672.6474,,Manager(946638),S1114672.47060,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47061,SP1114672.54.83,SY1114672.2026.47061,iPad1(1114672),01.06.26 12:41,Prod,A1114672.6474,,Manager(946638),S1114672.47061,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47062,SP1114672.54.84,SY1114672.2026.47062,iPad1(1114672),01.06.26 12:41,Prod,A1114672.6474,,Manager(946638),S1114672.47062,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47063,SP1114672.54.85,SY1114672.2026.47063,iPad1(1114672),01.06.26 12:41,Prod,A1114672.6474,,Manager(946638),S1114672.47063,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47064,SP1114672.54.86,SY1114672.2026.47064,iPad1(1114672),01.06.26 12:41,Prod,A1114672.6474,,Manager(946638),S1114672.47064,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47065,SP1114672.54.87,SY1114672.2026.47065,iPad1(1114672),01.06.26 12:41,Prod,A1114672.6474,,Manager(946638),S1114672.47065,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47066,SP1114672.54.88,SY1114672.2026.47066,iPad1(1114672),01.06.26 12:42,Prod,A1114672.6475,Tisch 7,Manager(946638),S1114672.47066,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,I2-1770047,KL. Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,10.186916,0.713084,Pagersystem
S1114672.47067,SP1114672.54.89,SY1114672.2026.47067,iPad1(1114672),01.06.26 12:42,Prod,A1114672.6475,Tisch 7,Manager(946638),S1114672.47067,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47068,SP1114672.54.90,SY1114672.2026.47068,iPad1(1114672),01.06.26 12:42,Prod,A1114672.6475,Tisch 7,Manager(946638),S1114672.47068,SALE,1,2.0,2.0,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,1.869159,0.130841,Pagersystem
S1114672.47069,SP1114672.54.91,SY1114672.2026.47069,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6475,Tisch 7,Manager(946638),S1114672.47069,SALE,1,2.5,2.5,0.0,0.0,0.0,0.0,155,"Wasser Sprudel (0,3 L)",Getränke(1549873308501013),[],MwSt. 19%,1.19,2.10084,0.39916,Pagersystem
S1114672.47070,SP1114672.54.92,SY1114672.2026.47070,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6475,Tisch 7,Manager(946638),S1114672.47070,SALE,1,3.4,3.4,0.0,0.0,0.0,0.0,I53,"Cola (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,2.857143,0.542857,Pagersystem
S1114672.47071,SP1114672.54.93,SY1114672.2026.47071,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6475,Tisch 7,Manager(946638),S1114672.47071,SALE,1,9.9,9.9,0.0,0.0,0.0,0.0,144,Kl. Schnitzel mit Pommes,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,9.252336,0.647664,Pagersystem
S1114672.47072,SP1114672.54.94,SY1114672.2026.47072,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6476,Tisch 7,Manager(946638),S1114672.47066,VOID,-1,10.9,-10.9,0.0,0.0,0.0,0.0,I2-1770047,KL. Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,-10.186916,-0.713084,Pagersystem
S1114672.47073,SP1114672.54.95,SY1114672.2026.47073,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6476,Tisch 7,Manager(946638),S1114672.47067,VOID,-1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47074,SP1114672.54.96,SY1114672.2026.47074,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6476,Tisch 7,Manager(946638),S1114672.47068,VOID,-1,2.0,-2.0,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,-1.869159,-0.130841,Pagersystem
S1114672.47075,SP1114672.54.97,SY1114672.2026.47075,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6476,Tisch 7,Manager(946638),S1114672.47069,VOID,-1,2.5,-2.5,0.0,0.0,0.0,0.0,155,"Wasser Sprudel (0,3 L)",Getränke(1549873308501013),[],MwSt. 19%,1.19,-2.10084,-0.39916,Pagersystem
S1114672.47076,SP1114672.54.98,SY1114672.2026.47076,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6476,Tisch 7,Manager(946638),S1114672.47070,VOID,-1,3.4,-3.4,0.0,0.0,0.0,0.0,I53,"Cola (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,-2.857143,-0.542857,Pagersystem
S1114672.47077,SP1114672.54.99,SY1114672.2026.47077,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6476,Tisch 7,Manager(946638),S1114672.47071,VOID,-1,9.9,-9.9,0.0,0.0,0.0,0.0,144,Kl. Schnitzel mit Pommes,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,-9.252336,-0.647664,Pagersystem
S1114672.47078,SP1114672.54.100,SY1114672.2026.47078,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6477,Tisch 7,Manager(946638),S1114672.47078,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,I2-1770047,KL. Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,10.186916,0.713084,Pagersystem
S1114672.47079,SP1114672.54.101,SY1114672.2026.47079,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6477,Tisch 7,Manager(946638),S1114672.47079,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47080,SP1114672.54.102,SY1114672.2026.47080,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6477,Tisch 7,Manager(946638),S1114672.47080,SALE,1,2.0,2.0,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,1.869159,0.130841,Pagersystem
S1114672.47081,SP1114672.54.103,SY1114672.2026.47081,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6477,Tisch 7,Manager(946638),S1114672.47081,SALE,1,9.9,9.9,0.0,0.0,0.0,0.0,144,Kl. Schnitzel mit Pommes,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,9.252336,0.647664,Pagersystem
S1114672.47082,SP1114672.54.104,SY1114672.2026.47082,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6477,Tisch 7,Manager(946638),S1114672.47082,SALE,1,2.5,2.5,0.0,0.0,0.0,0.0,155,"Wasser Sprudel (0,3 L)",Getränke(1549873308501013),[],MwSt. 19%,1.19,2.10084,0.39916,Pagersystem
S1114672.47083,SP1114672.54.105,SY1114672.2026.47083,iPad1(1114672),01.06.26 12:43,Prod,A1114672.6477,Tisch 7,Manager(946638),S1114672.47083,SALE,1,3.4,3.4,0.0,0.0,0.0,0.0,I53,"Cola (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,2.857143,0.542857,Pagersystem
S1114672.47084,SP1114672.54.106,SY1114672.2026.47084,iPad1(1114672),01.06.26 12:44,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47084,SALE,1,7.9,7.9,0.0,0.0,0.0,0.0,I7-1770047,Spargelsalat,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,7.383178,0.516822,Pagersystem
S1114672.47085,SP1114672.54.107,SY1114672.2026.47085,iPad1(1114672),01.06.26 12:44,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47085,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,191,Spargelsuppe,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47086,SP1114672.54.108,SY1114672.2026.47086,iPad1(1114672),01.06.26 12:44,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47086,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,I4-1770047,Spargelsuppe Klein,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,4.579439,0.320561,Pagersystem
S1114672.47087,SP1114672.54.109,SY1114672.2026.47087,iPad1(1114672),01.06.26 12:44,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47087,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,189,Vorher,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47088,SP1114672.54.110,SY1114672.2026.47088,iPad1(1114672),01.06.26 12:44,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47088,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,191,Spargelsuppe,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47089,SP1114672.54.111,SY1114672.2026.47089,iPad1(1114672),01.06.26 12:44,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47089,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,I4-1770047,Spargelsuppe Klein,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,4.579439,0.320561,Pagersystem
S1114672.47090,SP1114672.54.112,SY1114672.2026.47090,iPad1(1114672),01.06.26 12:44,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47090,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,189,Vorher,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47091,SP1114672.54.113,SY1114672.2026.47091,iPad1(1114672),01.06.26 12:45,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47091,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,I2-1770047,KL. Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,10.186916,0.713084,Pagersystem
S1114672.47092,SP1114672.54.114,SY1114672.2026.47092,iPad1(1114672),01.06.26 12:45,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47092,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47093,SP1114672.54.115,SY1114672.2026.47093,iPad1(1114672),01.06.26 12:45,Prod,A1114672.6478,Tisch 8,Manager(946638),S1114672.47093,SALE,1,2.0,2.0,0.0,0.0,0.0,0.0,S6,Lachs,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,1.869159,0.130841,Pagersystem
S1114672.47094,SP1114672.54.116,SY1114672.2026.47094,iPad1(1114672),01.06.26 12:45,Prod,A1114672.6479,Tisch 9,Manager(946638),S1114672.47094,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,I2-1770047,KL. Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,10.186916,0.713084,Pagersystem
S1114672.47095,SP1114672.54.117,SY1114672.2026.47095,iPad1(1114672),01.06.26 12:45,Prod,A1114672.6479,Tisch 9,Manager(946638),S1114672.47095,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47096,SP1114672.54.118,SY1114672.2026.47096,iPad1(1114672),01.06.26 12:45,Prod,A1114672.6479,Tisch 9,Manager(946638),S1114672.47096,SALE,1,9.9,9.9,0.0,0.0,0.0,0.0,144,Kl. Schnitzel mit Pommes,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,9.252336,0.647664,Pagersystem
S1114672.47097,SP1114672.54.119,SY1114672.2026.47097,iPad1(1114672),01.06.26 12:45,Prod,A1114672.6479,Tisch 9,Manager(946638),S1114672.47097,SALE,1,4.4,4.4,0.0,0.0,0.0,0.0,I62,"Fassbrause (0,5 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,3.697479,0.702521,Pagersystem
S1114672.47098,SP1114672.54.120,SY1114672.2026.47098,iPad1(1114672),01.06.26 12:46,Prod,A1114672.6479,Tisch 9,Manager(946638),S1114672.47098,SALE,1,3.5,3.5,0.0,0.0,0.0,0.0,I36,"Fassbier (0,3 L)",Getränke alkoholisch(1549873308501121),,MwSt. 19%,1.19,2.941176,0.558824,Pagersystem
S1114672.47099,SP1114672.54.121,SY1114672.2026.47099,iPad1(1114672),01.06.26 12:47,Prod,A1114672.6480,,Manager(946638),S1114672.47099,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,I14,Weizenbier alkoholfrei,Getränke alkoholisch(1549873308501121),,MwSt. 19%,1.19,3.529412,0.670588,Ohne Pager
S1114672.47100,SP1114672.54.122,SY1114672.2026.47100,iPad1(1114672),01.06.26 12:54,Prod,A1114672.6481,,Manager(946638),S1114672.47100,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47101,SP1114672.54.123,SY1114672.2026.47101,iPad1(1114672),01.06.26 12:54,Prod,A1114672.6481,,Manager(946638),S1114672.47101,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47102,SP1114672.54.124,SY1114672.2026.47102,iPad1(1114672),01.06.26 12:54,Prod,A1114672.6481,,Manager(946638),S1114672.47102,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47103,SP1114672.54.125,SY1114672.2026.47103,iPad1(1114672),01.06.26 12:54,Prod,A1114672.6481,,Manager(946638),S1114672.47103,SALE,1,3.5,3.5,0.0,0.0,0.0,0.0,I36,"Fassbier (0,3 L)",Getränke alkoholisch(1549873308501121),,MwSt. 19%,1.19,2.941176,0.558824,Ohne Pager
S1114672.47104,SP1114672.54.126,SY1114672.2026.47104,iPad1(1114672),01.06.26 12:54,Prod,A1114672.6481,,Manager(946638),S1114672.47104,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47105,SP1114672.54.127,SY1114672.2026.47105,iPad1(1114672),01.06.26 12:54,Prod,A1114672.6481,,Manager(946638),S1114672.47105,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47106,SP1114672.54.128,SY1114672.2026.47106,iPad1(1114672),01.06.26 12:54,Prod,A1114672.6481,Tisch 10,Manager(946638),S1114672.47106,SALE,1,3.4,3.4,0.0,0.0,0.0,0.0,I63,"Orangensaft (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,2.857143,0.542857,Pagersystem
S1114672.47107,SP1114672.54.129,SY1114672.2026.47107,iPad1(1114672),01.06.26 13:13,Prod,A1114672.6482,,Manager(946638),S1114672.47107,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47108,SP1114672.54.130,SY1114672.2026.47108,iPad1(1114672),01.06.26 13:13,Prod,A1114672.6482,,Manager(946638),S1114672.47108,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S3,Sauce Hollandaise,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47109,SP1114672.54.131,SY1114672.2026.47109,iPad1(1114672),01.06.26 13:13,Prod,A1114672.6482,,Manager(946638),S1114672.47109,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47110,SP1114672.54.132,SY1114672.2026.47110,iPad1(1114672),01.06.26 13:13,Prod,A1114672.6482,,Manager(946638),S1114672.47110,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,I52,"Apfelschorle (0,5 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,3.529412,0.670588,Ohne Pager
S1114672.47111,SP1114672.54.133,SY1114672.2026.47111,iPad1(1114672),01.06.26 13:14,Prod,A1114672.6482,Tisch 1,Manager(946638),S1114672.47111,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,I52,"Apfelschorle (0,5 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,3.529412,0.670588,Pagersystem
S1114672.47112,SP1114672.54.134,SY1114672.2026.47112,iPad1(1114672),01.06.26 13:15,Prod,A1114672.6482,Tisch 1,Manager(946638),S1114672.47112,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Pagersystem
S1114672.47113,SP1114672.54.135,SY1114672.2026.47113,iPad1(1114672),01.06.26 13:15,Prod,A1114672.6482,Tisch 1,Manager(946638),S1114672.47113,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47114,SP1114672.54.136,SY1114672.2026.47114,iPad1(1114672),01.06.26 13:15,Prod,A1114672.6482,Tisch 1,Manager(946638),S1114672.47114,SALE,1,2.4,2.4,0.0,0.0,0.0,0.0,S7,Schinken,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,2.242991,0.157009,Pagersystem
S1114672.47115,SP1114672.54.137,SY1114672.2026.47115,iPad1(1114672),01.06.26 13:16,Prod,A1114672.6483,,Manager(946638),S1114672.47115,SALE,1,4.5,4.5,0.0,0.0,0.0,0.0,I24,Waffel,Speisen Theke(1549873308501495),,MwSt. 7%,1.07,4.205607,0.294393,Ohne Pager
S1114672.47116,SP1114672.54.138,SY1114672.2026.47116,iPad1(1114672),01.06.26 13:16,Prod,A1114672.6483,,Manager(946638),S1114672.47116,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S29,Puderzucker,Speisen Theke(1549873308501495),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47117,SP1114672.54.139,SY1114672.2026.47117,iPad1(1114672),01.06.26 13:16,Prod,A1114672.6483,,Manager(946638),S1114672.47117,SALE,1,3.7,3.7,0.0,0.0,0.0,0.0,S24,Erdbeeren,Speisen Theke(1549873308501495),[],MwSt. 7%,1.07,3.457944,0.242056,Ohne Pager
S1114672.47118,SP1114672.54.140,SY1114672.2026.47118,iPad1(1114672),01.06.26 13:16,Prod,A1114672.6483,,Manager(946638),S1114672.47118,SALE,1,1.4,1.4,0.0,0.0,0.0,0.0,121,Vanilleeis,Speisen Theke(1549873308501495),[],MwSt. 7%,1.07,1.308411,0.091589,Ohne Pager
S1114672.47119,SP1114672.54.141,SY1114672.2026.47119,iPad1(1114672),01.06.26 13:16,Prod,A1114672.6483,,Manager(946638),S1114672.47119,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,196,Pager Nr. 1 Theke,Speisen Theke(1549873308501495),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47120,SP1114672.54.142,SY1114672.2026.47120,iPad1(1114672),01.06.26 13:17,Prod,A1114672.6484,,Manager(946638),S1114672.47120,SALE,1,4.5,4.5,0.0,0.0,0.0,0.0,I24,Waffel,Speisen Theke(1549873308501495),,MwSt. 7%,1.07,4.205607,0.294393,Ohne Pager
S1114672.47121,SP1114672.54.143,SY1114672.2026.47121,iPad1(1114672),01.06.26 13:17,Prod,A1114672.6484,,Manager(946638),S1114672.47121,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S29,Puderzucker,Speisen Theke(1549873308501495),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47122,SP1114672.54.144,SY1114672.2026.47122,iPad1(1114672),01.06.26 13:17,Prod,A1114672.6484,,Manager(946638),S1114672.47122,SALE,1,3.7,3.7,0.0,0.0,0.0,0.0,S24,Erdbeeren,Speisen Theke(1549873308501495),[],MwSt. 7%,1.07,3.457944,0.242056,Ohne Pager
S1114672.47123,SP1114672.54.145,SY1114672.2026.47123,iPad1(1114672),01.06.26 13:17,Prod,A1114672.6484,,Manager(946638),S1114672.47123,SALE,1,1.4,1.4,0.0,0.0,0.0,0.0,121,Vanilleeis,Speisen Theke(1549873308501495),[],MwSt. 7%,1.07,1.308411,0.091589,Ohne Pager
S1114672.47124,SP1114672.54.146,SY1114672.2026.47124,iPad1(1114672),01.06.26 13:17,Prod,A1114672.6484,,Manager(946638),S1114672.47124,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,197,Pager Nr. 2 Theke,Speisen Theke(1549873308501495),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47125,SP1114672.54.147,SY1114672.2026.47125,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,,Manager(946638),S1114672.47125,SALE,1,17.5,17.5,0.0,0.0,0.0,0.0,I1-1770047,Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,16.35514,1.14486,Ohne Pager
S1114672.47126,SP1114672.54.148,SY1114672.2026.47126,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,,Manager(946638),S1114672.47126,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47127,SP1114672.54.149,SY1114672.2026.47127,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,,Manager(946638),S1114672.47127,SALE,1,5.4,5.4,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,5.046729,0.353271,Ohne Pager
S1114672.47128,SP1114672.54.150,SY1114672.2026.47128,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,,Manager(946638),S1114672.47128,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,I2-1770047,KL. Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,10.186916,0.713084,Ohne Pager
S1114672.47129,SP1114672.54.151,SY1114672.2026.47129,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,,Manager(946638),S1114672.47129,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47130,SP1114672.54.152,SY1114672.2026.47130,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,,Manager(946638),S1114672.47130,SALE,1,2.0,2.0,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,1.869159,0.130841,Ohne Pager
S1114672.47131,SP1114672.54.153,SY1114672.2026.47131,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,,Manager(946638),S1114672.47131,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,I2-1770047,KL. Spargelmenü,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,10.186916,0.713084,Ohne Pager
S1114672.47132,SP1114672.54.154,SY1114672.2026.47132,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,,Manager(946638),S1114672.47132,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,S4,Semmelbutter,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Ohne Pager
S1114672.47133,SP1114672.54.155,SY1114672.2026.47133,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,,Manager(946638),S1114672.47133,SALE,1,2.0,2.0,0.0,0.0,0.0,0.0,S5,Schnitzel,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,1.869159,0.130841,Ohne Pager
S1114672.47134,SP1114672.54.156,SY1114672.2026.47134,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,Tisch 2,Manager(946638),S1114672.47134,SALE,1,3.4,3.4,0.0,0.0,0.0,0.0,I63,"Orangensaft (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,2.857143,0.542857,Pagersystem
S1114672.47135,SP1114672.54.157,SY1114672.2026.47135,iPad1(1114672),01.06.26 13:31,Prod,A1114672.6485,Tisch 2,Manager(946638),S1114672.47135,SALE,1,4.4,4.4,0.0,0.0,0.0,0.0,I54,"Cola (0,5 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,3.697479,0.702521,Pagersystem
S1114672.47136,SP1114672.54.158,SY1114672.2026.47136,iPad1(1114672),01.06.26 13:32,Prod,A1114672.6485,Tisch 2,Manager(946638),S1114672.47136,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,I51,"Apfelschorle (0,3 L)",Getränke(1549873308501013),,MwSt. 19%,1.19,2.689076,0.510924,Pagersystem
S1114672.47137,SP1114672.54.159,SY1114672.2026.47137,iPad1(1114672),01.06.26 13:48,Prod,A1114672.6486,Tisch 1,Manager(946638),S1114672.47137,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,191,Spargelsuppe,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
S1114672.47138,SP1114672.54.160,SY1114672.2026.47138,iPad1(1114672),01.06.26 13:48,Prod,A1114672.6486,Tisch 1,Manager(946638),S1114672.47138,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,I4-1770047,Spargelsuppe Klein,Speisen Küche(1549873308500113),,MwSt. 7%,1.07,4.579439,0.320561,Pagersystem
S1114672.47139,SP1114672.54.161,SY1114672.2026.47139,iPad1(1114672),01.06.26 13:48,Prod,A1114672.6486,Tisch 1,Manager(946638),S1114672.47139,SALE,1,0.0,0.0,0.0,0.0,0.0,0.0,190,Zusammen,Speisen Küche(1549873308500113),[],MwSt. 7%,1.07,0,0,Pagersystem
